code,net,dist,az,quad,is_am,seis_snr,seis_trig,app_vel,inf_snr,inf_trig
AM.T6868,AM,14.88,158.3,S,True,19.11,True,0.1542,,
AM.RDB92,AM,35.91,199.5,S,True,20.03,True,0.1737,,
AM.RB66E,AM,36.36,208.9,S,True,152.57,True,0.1694,,
AM.RED1B,AM,37.33,356.7,N,True,4.32,True,0.2832,,
AM.R5FCB,AM,46.28,208.1,S,True,485.57,True,0.2053,,
AM.R54AB,AM,46.79,206.6,S,True,48.62,True,0.1495,,
AM.R8504,AM,46.79,206.6,S,True,33.63,True,0.1495,,
AM.R11C3,AM,46.79,206.6,S,True,,,,2307.17,True
AM.R673C,AM,47.07,255.6,W,True,11.43,True,0.2837,,
AM.R0352,AM,47.41,242.7,W,True,6.13,True,0.2322,26.04,True
AM.R48E1,AM,47.75,233.0,W,True,91.79,True,0.141,,
AM.RD314,AM,48.13,201.2,S,True,93.96,True,0.3308,,
AM.RFC9B,AM,48.42,198.7,S,True,3.52,False,0.1639,,
AM.R5BB4,AM,48.5,199.0,S,True,119.32,True,0.2786,1519.86,True
AM.R81DC,AM,51.05,206.1,S,True,77.29,True,0.4,,
AM.S5739,AM,54.28,214.4,S,True,294.21,True,0.3293,803.47,True
AM.S7586,AM,54.58,198.1,S,True,12.74,True,0.1898,,
AM.REACE,AM,55.9,201.9,S,True,103.65,True,0.2468,,
AM.S4FB5,AM,56.11,202.4,S,True,581.56,True,0.1901,,
AM.R65FC,AM,56.11,202.4,S,True,821.8,True,0.2837,,
AM.R9F1F,AM,56.11,202.4,S,True,74.18,True,0.2587,,
AM.R380E,AM,56.16,202.6,S,True,78.78,True,0.3121,,
NE.WES,NE,57.65,216.9,S,False,16.27,True,0.1804,,
AM.RCABD,AM,57.9,216.1,S,True,12.98,True,0.1811,,
IU.HRV,IU,62.96,239.0,W,False,3.94,True,0.2428,,
AM.R5D42,AM,65.6,210.0,S,True,300.69,True,0.3558,,
AM.R9A2D,AM,65.6,210.0,S,True,206.69,True,0.4,843.57,True
AM.RF082,AM,68.08,194.5,S,True,11.67,True,0.3191,17.79,True
AM.R974C,AM,77.25,194.1,S,True,31.88,True,0.3058,,
AM.R7591,AM,79.82,318.2,N,True,4.77,False,0.1728,,
AM.RB3CB,AM,86.08,31.4,N,True,8.26,True,0.3851,,
AM.R4F98,AM,87.19,277.1,W,True,20.43,True,0.3892,,
N4.L64A,N4,96.21,177.0,S,False,1.17,False,0.2884,,
AM.RB3C2,AM,103.91,305.2,W,True,2.55,True,0.2986,1.84,True
N4.K62A,N4,110.02,262.6,W,False,3.7,True,0.3509,,
N4.I62A,N4,124.55,343.7,N,False,4.06,True,0.2521,,
N4.I63A,N4,141.42,10.4,N,False,4.85,False,0.2749,,
AM.R94FB,AM,142.06,31.7,N,True,1.66,True,0.2974,31.46,True
AM.R2185,AM,142.18,170.0,S,True,6.15,True,0.2691,,
N4.J61A,N4,147.4,294.9,W,False,3.75,False,0.2797,,
N4.L61B,N4,150.76,255.6,W,False,5.42,False,0.3017,,
NE.HNH,NE,150.79,312.3,W,False,6.68,False,0.352,,
AM.R9E49,AM,151.63,197.1,S,True,1.17,False,0.2508,,
US.LBNH,US,180.23,333.0,N,False,3.48,True,0.2903,,
N4.M63A,N4,181.79,211.7,S,False,3.75,True,0.3439,,
AM.RCB43,AM,187.57,267.2,W,True,11.35,True,0.3799,,
AM.RB867,AM,196.12,220.6,S,True,4.17,False,0.3836,,
AM.R2004,AM,197.1,231.6,W,True,5.55,True,0.376,,
N4.H62A,N4,198.36,354.1,N,False,4.73,False,0.3821,,
AM.R8C27,AM,202.28,229.5,W,True,17.38,True,0.3079,,
AM.R8BBE,AM,213.26,239.7,W,True,6.4,True,0.3896,,
AM.R049E,AM,215.52,225.0,W,True,2.65,True,0.3876,,
AM.R5D30,AM,215.52,225.0,W,True,2.58,True,0.3876,4.4,True
AM.R760E,AM,216.75,256.2,W,True,11.27,True,0.2367,45.6,True
NE.TRY,NE,225.95,269.0,W,False,5.25,False,0.2983,,
AM.R8ED1,AM,232.66,279.4,W,True,16.31,True,0.3392,,
LD.ACCN,LD,233.94,287.1,W,False,4.05,False,0.3804,,
NE.WSPT,NE,270.29,228.7,W,False,3.52,False,0.3787,,
N4.G62A,N4,270.54,6.1,N,False,3.6,True,0.3873,,
AM.R60CA,AM,285.06,233.8,W,True,30.08,True,0.2894,,
